metric_month,product,billingCountry,no_customers,mrr
2017-08-01,GURU,United States,691,121258.77500000143
2017-08-01,PRO,Canada,219,18608.93083333336
2017-08-01,PRO,France,420,36990.26500000014
2017-08-01,PRO,India,308,26161.365000000067
2017-08-01,PRO,United Kingdom,453,38800.099999999875
2017-08-01,PRO,United States,514,44227.57416666633
2017-09-01,BUSINESS,Canada,30,10431.736666666668
2017-09-01,BUSINESS,France,86,30293.650000000038
2017-09-01,BUSINESS,India,65,22913.03500000002
2017-09-01,BUSINESS,United Kingdom,74,25069.782500000027
2017-09-01,BUSINESS,United States,77,26493.74000000003
2017-09-01,GURU,Canada,387,68239.83416666636
2017-09-01,GURU,France,903,159477.74750000064
2017-09-01,GURU,India,555,97130.37000000065
2017-09-01,GURU,United Kingdom,770,132161.46500000157
2017-09-01,GURU,United States,740,128480.84666666831
2017-09-01,PRO,Canada,234,19861.999166666694
2017-09-01,PRO,France,458,39970.34083333336
2017-09-01,PRO,India,310,26557.335833333436
2017-09-01,PRO,United Kingdom,427,36609.93666666662
2017-09-01,PRO,United States,492,41931.39999999973
2017-10-01,BUSINESS,Canada,31,10631.736666666668
2017-10-01,BUSINESS,France,98,34709.54000000003
2017-10-01,BUSINESS,India,59,20565.886666666673
2017-10-01,BUSINESS,United Kingdom,73,24473.00250000002
2017-10-01,BUSINESS,United States,76,26173.75000000003
2017-10-01,GURU,Canada,399,70045.34333333309
2017-10-01,GURU,France,1019,179574.32166666654
2017-10-01,GURU,India,539,93286.55916666731
2017-10-01,GURU,United Kingdom,798,136205.30833333466
2017-10-01,GURU,United States,720,123245.89833333477
2017-10-01,PRO,Canada,230,19576.83250000003
2017-10-01,PRO,France,542,47297.574166666534
2017-10-01,PRO,India,321,27577.632500000134
2017-10-01,PRO,United Kingdom,430,36737.90166666665
2017-10-01,PRO,United States,466,39604.03666666643
2017-11-01,BUSINESS,Canada,30,10511.736666666668
2017-11-01,BUSINESS,France,102,36029.50666666668
2017-11-01,BUSINESS,India,51,17573.963333333333
2017-11-01,BUSINESS,United Kingdom,64,21977.051666666677
2017-11-01,BUSINESS,United States,61,20333.9
2017-11-01,GURU,Canada,410,71843.62916666646
2017-11-01,GURU,France,1134,198286.19416666572
2017-11-01,GURU,India,527,90111.56083333393
2017-11-01,GURU,United Kingdom,810,138198.76666666783
2017-11-01,GURU,United States,720,123164.30000000139
2017-11-01,PRO,Canada,232,19842.810000000034
2017-11-01,PRO,France,569,49674.5758333331
2017-11-01,PRO,India,292,24775.901666666778
2017-11-01,PRO,United Kingdom,406,34606.928333333315
2017-11-01,PRO,United States,444,37603.43083333315
2017-12-01,BUSINESS,Canada,31,10911.726666666667
2017-12-01,BUSINESS,France,99,34325.54750000002
2017-12-01,BUSINESS,India,44,14702.040000000003
2017-12-01,BUSINESS,United Kingdom,57,19113.123333333333
2017-12-01,BUSINESS,United States,62,50633.083333333336
2017-12-01,GURU,Canada,348,58417.137499999786
2017-12-01,GURU,France,1036,177953.600833333
2017-12-01,GURU,India,483,81267.1750000004
2017-12-01,GURU,United Kingdom,726,121366.79333333443
2017-12-01,GURU,United States,688,116171.03750000117
2017-12-01,PRO,Canada,213,17985.00583333334
2017-12-01,PRO,France,493,41938.96666666645
2017-12-01,PRO,India,1000,95927.99250000114
2017-12-01,PRO,United Kingdom,349,29295.45749999999
2017-12-01,PRO,United States,402,33649.82416666663
