churn_month,product,billingCountry,starting_revenue,starting_customers,retained_revenue,retained_customers
2016-04-01,GURU,India,13574.526666666663,76,8366.770000000002,51
2016-04-01,GURU,United Kingdom,20505.374166666657,114,14471.649166666664,87
2016-04-01,GURU,United States,18983.860833333325,109,12714.157500000001,78
2016-04-01,PRO,Canada,6526.532499999996,73,4460.754166666666,51
2016-04-01,PRO,France,5161.46833333333,59,3399.66,40
2016-04-01,PRO,India,13594.228333333323,150,9364.705833333333,103
2016-04-01,PRO,United Kingdom,20532.686666666657,240,16297.238333333331,185
2016-04-01,PRO,United States,18395.344999999983,209,13591.935000000005,151
2016-05-01,BUSINESS,Canada,4015.8999999999996,11,3615.91,10
2016-05-01,BUSINESS,France,4343.8966666666665,12,2943.9266666666663,9
2016-05-01,BUSINESS,India,8260.594166666666,23,4340.684166666667,14
2016-05-01,BUSINESS,United Kingdom,14551.637499999997,40,9595.735833333334,30
2016-05-01,BUSINESS,United States,15028.425833333331,42,10392.534166666666,31
2016-05-01,GURU,Canada,7495.626666666667,41,5179.7383333333355,30
2016-05-01,GURU,France,5334.137500000001,32,4006.195833333334,25
2016-05-01,GURU,India,14764.871666666664,86,9933.075,64
2016-05-01,GURU,United Kingdom,22223.7,127,16470.361666666668,98
2016-05-01,GURU,United States,21915.71499999999,126,15165.625,92
2016-05-01,PRO,Canada,6850.491666666667,79,4690.740000000002,54
2016-05-01,PRO,France,6031.364999999996,71,4238.758333333332,52
2016-05-01,PRO,India,13993.384999999991,156,9803.050000000001,111
2016-05-01,PRO,United Kingdom,24874.286666666638,283,18203.85249999999,207
2016-05-01,PRO,United States,20999.053333333326,240,15244.565833333334,171
2016-06-01,BUSINESS,Canada,4615.889999999999,13,3015.91,10
2016-06-01,BUSINESS,France,4279.8983333333335,12,2343.936666666667,7
2016-06-01,BUSINESS,India,8396.595833333331,24,5480.6575,18
2016-06-01,BUSINESS,United Kingdom,15007.629166666664,42,10691.710833333334,33
2016-06-01,BUSINESS,United States,17292.372499999998,50,11540.504166666666,36
2016-06-01,GURU,Canada,7234.045000000001,41,6034.095000000002,35
2016-06-01,GURU,France,7796.421666666666,46,5160.538333333334,33
2016-06-01,GURU,India,15100.854166666662,88,10797.054166666669,67
2016-06-01,GURU,United Kingdom,27348.2475,156,19528.627499999995,115
2016-06-01,GURU,United States,23040.454999999994,134,17304.723333333324,106
2016-06-01,PRO,Canada,7440.438333333334,86,5696.636666666668,66
2016-06-01,PRO,France,6922.47833333333,81,4900.722499999999,56
2016-06-01,PRO,India,16264.355833333324,182,11792.867499999998,132
2016-06-01,PRO,United Kingdom,27200.868333333314,308,20507.602499999968,235
2016-06-01,PRO,United States,23925.96166666665,273,17330.734166666654,197
2016-07-01,BUSINESS,Canada,5615.859999999999,15,3615.91,10
2016-07-01,BUSINESS,France,3343.916666666666,9,1491.9566666666667,5
2016-07-01,BUSINESS,India,10676.534999999998,31,7156.6050000000005,23
2016-07-01,BUSINESS,United Kingdom,17199.5725,48,10827.712500000001,34
2016-07-01,BUSINESS,United States,17113.179166666665,50,13313.269166666665,40
2016-07-01,GURU,Canada,9501.926666666666,52,7082.036666666669,41
2016-07-01,GURU,France,9504.341666666665,56,8104.411666666668,47
2016-07-01,GURU,India,15384.849166666665,90,11605.425833333336,70
2016-07-01,GURU,United Kingdom,30006.502500000002,172,21104.493333333314,130
2016-07-01,GURU,United States,27132.248333333326,156,18890.243333333325,116
2016-07-01,PRO,Canada,8399.546666666667,97,6565.745000000001,77
2016-07-01,PRO,France,6366.549166666664,74,5016.699166666666,59
2016-07-01,PRO,India,17580.209166666657,199,13743.466666666665,153
2016-07-01,PRO,United Kingdom,27722.010833333272,317,21118.74999999997,243
2016-07-01,PRO,United States,24763.869999999977,286,19586.95749999996,217
2016-08-01,BUSINESS,Canada,4815.889999999999,14,3383.911666666667,11
2016-08-01,BUSINESS,France,3807.9049999999997,10,2275.1383333333333,7
2016-08-01,BUSINESS,India,10828.528333333332,31,7492.6,24
2016-08-01,BUSINESS,United Kingdom,20671.484166666658,58,13039.650833333335,40
2016-08-01,BUSINESS,United States,20905.082500000008,60,15089.195833333331,48
2016-08-01,GURU,Canada,10004.301666666666,55,7736.420000000001,43
2016-08-01,GURU,France,10734.668333333331,62,6754.855000000001,43
2016-08-01,GURU,India,18755.064166666663,107,12574.551666666668,77
2016-08-01,GURU,United Kingdom,30168.10083333333,174,22068.492499999982,136
2016-08-01,GURU,United States,26861.868333333317,157,20342.163333333305,126
2016-08-01,PRO,Canada,9113.476666666666,105,7473.680000000003,85
2016-08-01,PRO,France,8876.307499999994,99,6604.585,72
2016-08-01,PRO,India,20281.923333333314,229,15722.503333333332,171
2016-08-01,PRO,United Kingdom,31793.964166666636,366,23922.86749999995,276
2016-08-01,PRO,United States,28697.911666666663,325,21356.768333333293,239
2016-09-01,BUSINESS,Canada,6007.853333333333,17,3287.913333333334,10
2016-09-01,BUSINESS,France,3663.9066666666668,10,2143.9466666666667,6
2016-09-01,BUSINESS,India,14716.43333333333,41,8314.975,27
2016-09-01,BUSINESS,United Kingdom,19889.100833333334,56,13933.239166666666,42
2016-09-01,BUSINESS,United States,23441.02250000001,68,16801.1625,52
2016-09-01,GURU,Canada,11840.213333333331,66,8172.381666666669,49
2016-09-01,GURU,France,11330.640833333333,66,8546.775000000001,52
2016-09-01,GURU,India,20194.197499999987,115,15386.459166666667,88
2016-09-01,GURU,United Kingdom,37394.156666666684,216,26823.843333333305,165
2016-09-01,GURU,United States,33733.53083333333,195,24659.54916666663,150
2016-09-01,PRO,Canada,11613.214166666661,133,8503.582500000004,96
2016-09-01,PRO,France,9560.640833333327,108,6936.95,76
2016-09-01,PRO,India,22673.308333333294,254,16548.031666666662,184
2016-09-01,PRO,United Kingdom,34044.97416666663,388,26953.834999999908,303
