metric_month,product,billingCountry,customers_acquired,cancelled_customers,customer_base
2017-01-01,BUSINESS,United Kingdom,9,19,91
2017-01-01,BUSINESS,Canada,10,8,25
2017-01-01,PRO,United Kingdom,68,93,490
2017-01-01,BUSINESS,France,6,6,21
2017-01-01,GURU,India,114,42,195
2017-01-01,BUSINESS,United States,8,17,84
2017-01-01,PRO,United States,88,98,488
2017-01-01,GURU,Canada,65,21,105
2017-01-01,PRO,France,45,32,162
2017-02-01,PRO,Canada,44,31,157
2017-02-01,BUSINESS,Canada,7,9,30
2017-02-01,GURU,United States,189,147,428
2017-02-01,PRO,India,43,43,292
2017-02-01,BUSINESS,India,11,11,52
2017-02-01,PRO,United States,102,83,467
2017-02-01,GURU,India,120,78,274
2017-02-01,BUSINESS,United States,11,8,74
2017-02-01,PRO,France,68,33,168
2017-02-01,BUSINESS,France,10,5,19
2017-02-01,GURU,United Kingdom,191,126,439
2017-02-01,GURU,Canada,60,56,151
2017-02-01,PRO,United Kingdom,83,70,444
2017-02-01,BUSINESS,United Kingdom,11,13,81
2017-02-01,GURU,France,118,79,192
2017-03-01,GURU,United Kingdom,170,140,511
2017-03-01,BUSINESS,France,15,8,25
2017-03-01,GURU,United States,162,152,479
2017-03-01,PRO,United States,81,87,482
2017-03-01,BUSINESS,United States,10,9,72
2017-03-01,PRO,Canada,45,24,172
2017-03-01,GURU,India,113,89,320
2017-03-01,BUSINESS,Canada,8,4,24
2017-03-01,BUSINESS,United Kingdom,17,15,81
2017-03-01,GURU,France,155,76,226
2017-03-01,PRO,France,82,37,207
2017-03-01,GURU,Canada,70,49,157
2017-03-01,BUSINESS,India,12,7,51
2017-03-01,PRO,India,56,41,289
2017-03-01,PRO,United Kingdom,75,77,448
2017-04-01,PRO,India,50,52,301
2017-04-01,BUSINESS,Canada,9,5,25
2017-04-01,GURU,India,115,88,348
2017-04-01,BUSINESS,India,12,15,55
2017-04-01,GURU,Canada,109,40,181
2017-04-01,PRO,United Kingdom,97,76,438
2017-04-01,PRO,Canada,49,38,193
2017-04-01,GURU,United Kingdom,165,134,554
2017-04-01,PRO,France,83,64,245
2017-04-01,BUSINESS,United States,11,6,74
2017-04-01,PRO,United States,94,69,481
2017-04-01,BUSINESS,France,15,12,33
2017-04-01,GURU,United States,201,132,483
2017-04-01,BUSINESS,United Kingdom,21,18,78
2017-04-01,GURU,France,186,120,311
2017-05-01,PRO,United States,65,95,504
2017-05-01,BUSINESS,India,12,10,51
2017-05-01,GURU,Canada,96,70,250
2017-05-01,GURU,United States,217,165,556
2017-05-01,BUSINESS,Canada,4,10,31
2017-05-01,PRO,United Kingdom,73,85,460
2017-05-01,GURU,France,234,129,377
2017-05-01,PRO,France,90,71,263
2017-05-01,GURU,United Kingdom,160,143,583
2017-05-01,BUSINESS,France,14,13,37
2017-05-01,BUSINESS,United Kingdom,15,12,82
2017-05-01,PRO,India,58,53,304
2017-05-01,PRO,Canada,42,42,202
2017-05-01,BUSINESS,United States,17,14,77
2017-05-01,GURU,India,119,96,371
2017-06-01,PRO,United Kingdom,78,74,441
2017-06-01,PRO,United States,75,66,480
2017-06-01,GURU,United Kingdom,184,130,606
2017-06-01,BUSINESS,United States,10,18,78
2017-06-01,GURU,France,231,164,486
2017-06-01,BUSINESS,Canada,5,5,25
2017-06-01,PRO,India,53,58,312
2017-06-01,PRO,France,93,63,279
2017-06-01,GURU,India,121,95,389
2017-06-01,BUSINESS,France,21,6,37
2017-06-01,PRO,Canada,42,31,202
2017-06-01,BUSINESS,India,11,14,55
2017-06-01,GURU,Canada,81,65,276
2017-06-01,GURU,United States,197,175,604
2017-06-01,BUSINESS,United Kingdom,16,11,86
2017-07-01,BUSINESS,France,21,14,55
2017-07-01,GURU,India,121,88,419
2017-07-01,BUSINESS,United Kingdom,15,16,87
2017-07-01,PRO,United States,98,77,482
2017-07-01,GURU,Canada,105,78,296
2017-07-01,PRO,India,57,47,304
2017-07-01,BUSINESS,United States,16,6,68
2017-07-01,GURU,United Kingdom,196,168,667
2017-07-01,PRO,United Kingdom,87,87,442
2017-07-01,BUSINESS,Canada,7,4,25
2017-07-01,PRO,Canada,52,31,209
2017-07-01,GURU,United States,147,151,635
2017-07-01,BUSINESS,India,10,5,51
2017-07-01,GURU,France,270,171,553
2017-07-01,PRO,France,123,64,306
2017-08-01,PRO,France,149,90,360
2017-08-01,PRO,United States,108,93,507
2017-08-01,GURU,United States,199,143,626
2017-08-01,GURU,India,156,105,451
2017-08-01,BUSINESS,France,26,17,65
2017-08-01,PRO,Canada,48,49,228
2017-08-01,PRO,United Kingdom,89,85,439
2017-08-01,BUSINESS,United States,16,12,79
2017-08-01,GURU,United Kingdom,202,154,703
2017-08-01,BUSINESS,Canada,6,6,27
2017-08-01,PRO,India,49,55,316
2017-08-01,GURU,Canada,115,93,326
2017-08-01,BUSINESS,United Kingdom,12,16,81
2017-08-01,GURU,France,324,202,654
2017-08-01,BUSINESS,India,15,8,55
2017-09-01,GURU,France,357,242,775
2017-09-01,GURU,United Kingdom,190,165,745
2017-09-01,PRO,United States,80,102,514
2017-09-01,GURU,United States,212,167,691
